room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count
9014,0,0,0,0,1,0,0,0,0,1,18.0,1,1,no view,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9015,1,0,0,0,0,0,0,0,0,1,22.0,1,1,garden,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9016,0,0,0,0,1,0,0,0,0,1,25.0,1,1,garden,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9017,1,0,0,0,0,0,0,0,0,1,30.0,1,1,no view,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9018,1,0,0,0,0,0,0,0,0,1,18.0,1,1,no view,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9019,0,0,1,0,0,0,0,0,0,1,20.0,1,1,no view,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9020,0,0,0,0,0,0,0,0,0,1,25.0,0,1,no view,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9021,0,0,1,0,0,0,0,0,0,1,,1,1,sea,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
9022,0,0,0,0,0,0,0,0,0,1,15.0,1,1,sea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
9023,0,1,0,0,0,0,0,1,0,1,170.0,8,1,city,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
9024,0,1,0,0,0,0,0,0,0,1,,1,1,no view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9025,0,1,0,0,0,0,0,0,0,1,,1,1,no view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9026,1,0,0,0,0,0,0,0,0,1,66.0,2,1,nature,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
9027,0,0,0,0,1,0,0,0,0,1,13.0,1,1,no view,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9028,0,0,0,0,0,0,1,0,0,1,66.0,2,1,no view,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9029,0,0,0,0,1,0,0,0,0,1,20.0,1,1,nature,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9030,1,0,0,0,0,0,0,0,0,1,30.0,1,1,no view,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9031,0,1,1,0,0,0,0,0,0,2,15.0,1,1,city,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9032,0,1,0,0,0,0,0,0,0,1,25.0,1,1,nature,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9033,1,0,0,0,0,0,0,0,0,1,25.0,1,1,nature,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9034,1,0,0,1,0,0,0,0,0,1,150.0,2,1,nature,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9035,1,0,0,1,0,0,0,0,0,1,,2,1,no view,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9159,1,0,0,1,1,0,0,0,0,1,90.0,2,1,garden,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9160,1,0,0,0,0,0,0,0,0,1,60.0,2,1,no view,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
