,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,confirmation-instant
143,146,1,0,0,0,0,0,0,0,0,1,30.0,1,1,vuon,,,,,,,,,,,,,True,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
144,147,1,0,0,0,0,0,0,0,0,1,35.0,1,1,vuon,True,,,,,,,,,,,,True,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
145,148,0,0,0,0,1,0,0,0,0,1,25.0,1,1,ngoai troi,,,True,True,,True,,True,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
146,149,0,0,0,0,1,0,0,0,0,1,45.0,1,1,ngoai troi,True,,True,True,,True,,True,,,,,,,,,,,,,,,,,,,0,am nuoc dien
147,150,0,0,0,0,0,0,0,0,0,1,35.0,0,1,thanh pho,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
148,151,0,0,0,0,1,0,0,0,0,1,45.0,1,1,ngoai troi,,,True,True,,True,,True,True,,,,,,,,,,,,,,,,,,0,am nuoc dien
149,152,0,0,0,0,1,0,0,0,0,1,15.0,1,1,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
150,153,1,0,0,0,0,0,0,0,0,1,18.0,1,1,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
151,154,0,0,0,0,1,0,0,0,0,1,18.0,0,1,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,0,
152,155,1,0,0,0,0,0,0,0,0,1,20.0,1,1,nui,True,,,,,,True,,,,,,True,True,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
153,156,1,0,0,0,0,0,0,0,0,1,28.0,0,1,ngoai troi,True,,,True,,,,,,,,,,,,,,,,,,,,,,,0,am nuoc dien
154,157,1,0,0,0,0,0,0,0,0,1,35.0,0,1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,0,
155,158,0,1,0,0,0,0,0,0,0,1,40.0,0,1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0,
156,159,0,0,0,0,0,0,1,0,0,1,40.0,0,1,thanh pho,True,True,,,True,,,True,,,,True,,,,,,,,,,,,,,,0,
157,160,0,0,1,1,0,0,0,0,0,1,40.0,0,1,thanh pho,True,True,,,True,,,,,,,True,,,,,,,,,,,,,,,0,hanh lang ngoai
158,161,0,0,1,1,0,0,0,0,0,1,40.0,1,1,nui,True,,,,True,,,True,,,,,True,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
159,162,1,0,0,1,0,0,0,0,0,1,55.0,1,1,nui,True,,,,True,,,True,,,,,True,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
160,163,0,0,0,1,0,0,1,0,0,1,65.0,0,1,thien nhien,True,True,,,True,,,,,True,,True,,,,,,,,,,,,,,,0,
161,164,0,0,0,1,0,0,1,0,0,1,55.0,1,1,ho (mot phan),True,,,,True,,,,,,,True,,,,,,,,,,,,,,,0,hanh lang ngoai
162,165,0,0,1,1,0,0,1,0,0,1,80.0,0,1,song,True,,,,True,,,,,True,,True,,,,,,,,,,,,,,,2,
163,166,1,0,0,0,0,0,0,0,0,1,35.0,1,1,ngoai troi,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
164,167,1,0,0,0,0,0,0,0,0,1,62.0,1,1,ngoai troi,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
