,room_type_id,bed_str,expanded_bed,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_str,bedroom_count,confirmation-instant_str,confirmation-instant
54,57,1 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 1}]",0,0,1,0,0,0,0,0,0,0,1,34.0,0,1,Hướng Vườn,vuon,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
55,58,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,40.0,1,1,Hướng Thành phố,thanh pho,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
56,59,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,40.0,1,1,Hướng Ngoài trời,ngoai troi,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,Rượu,ruou
57,60,1 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 1}]",0,0,1,0,0,0,0,0,0,0,1,40.0,0,1,Hướng Thành phố,thanh pho,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
58,61,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,45.0,0,1,Hướng Thành phố,thanh pho,,,True,True,True,True,,,True,,,,,,,,,,True,,,,,,,,,,0,,
59,62,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,45.0,0,1,Hướng Thành phố,thanh pho,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,0,Rượu,ruou
60,63,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,34.0,0,1,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,0,,
61,64,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,78.0,0,1,Hướng Thành phố,thanh pho,True,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
62,65,1 giường sofa & 1 giường đôi lớn,"[{'bed_type': 'giường sofa', 'bed_count': 1}, {'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,1,0,0,0,0,0,0,1,78.0,1,1,Hướng Ngoài trời,ngoai troi,,,True,True,True,,,,True,,,True,,,,,,,,,,,,,,,,,0,Ấm nước điện,am nuoc dien
63,66,,[],0,0,0,0,0,0,0,0,0,0,1,,0,1,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,0,,
64,67,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,26.0,1,1,Hướng Thành phố,thanh pho,,True,,,True,,,,,,,,,,,True,,,,,,,,,,,,,0,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
